game_name,game_release_date,game_url
Borderlands 3: Season Pass,"13 Mar, 2020",https://store.steampowered.com/app/1233062/Borderlands_3_Season_Pass/?snr=1_7_7_topsellers_150_4
The Walking Dead: The Final Season,"13 Aug, 2018",https://store.steampowered.com/app/866800/The_Walking_Dead_The_Final_Season/?snr=1_7_7_topsellers_150_4
Cyberpunk 2077,"16 Sep, 2020",https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_topsellers_150_4
Mutant Year Zero: Seed of Evil,"30 Jul, 2019",https://store.steampowered.com/app/1088000/Mutant_Year_Zero_Seed_of_Evil/?snr=1_7_7_topsellers_150_4
Garry's Mod,"29 Nov, 2006",https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_topsellers_150_5
The Sims™ 3,"27 Jan, 2011",https://store.steampowered.com/app/47890/The_Sims_3/?snr=1_7_7_topsellers_150_5
7 Days to Die,"13 Dec, 2013",https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_topsellers_150_5
Granblue Fantasy: Versus,"13 Mar, 2020",https://store.steampowered.com/app/1090630/Granblue_Fantasy_Versus/?snr=1_7_7_topsellers_150_5
Total War: WARHAMMER,"24 May, 2016",https://store.steampowered.com/app/364360/Total_War_WARHAMMER/?snr=1_7_7_topsellers_150_5
Endzone - A World Apart,"2 Apr, 2020",https://store.steampowered.com/app/933820/Endzone__A_World_Apart/?snr=1_7_7_topsellers_150_5
Grand Theft Auto V: Premium Online Edition,,https://store.steampowered.com/bundle/5699/Grand_Theft_Auto_V_Premium_Online_Edition/?snr=1_7_7_topsellers_150_5
The Jackbox Party Quadpack,,https://store.steampowered.com/bundle/5237/The_Jackbox_Party_Quadpack/?snr=1_7_7_topsellers_150_5
Call of Duty®: Black Ops III,"5 Nov, 2015",https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III/?snr=1_7_7_topsellers_150_5
Destiny 2: Upgrade Edition,"10 Dec, 2019",https://store.steampowered.com/sub/416694/?snr=1_7_7_topsellers_150_5
House Flipper,"17 May, 2018",https://store.steampowered.com/app/613100/House_Flipper/?snr=1_7_7_topsellers_150_5
DayZ Livonia Edition,,https://store.steampowered.com/bundle/12620/DayZ_Livonia_Edition/?snr=1_7_7_topsellers_150_5
American Truck Simulator,"2 Feb, 2016",https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_topsellers_150_5
Assassin's Creed® Odyssey,"5 Oct, 2018",https://store.steampowered.com/app/812140/Assassins_Creed_Odyssey/?snr=1_7_7_topsellers_150_5
Farming Simulator 19,"19 Nov, 2018",https://store.steampowered.com/app/787860/Farming_Simulator_19/?snr=1_7_7_topsellers_150_5
Stellaris: Starter Pack,,https://store.steampowered.com/bundle/7611/Stellaris_Starter_Pack/?snr=1_7_7_topsellers_150_5
Jurassic World Evolution: Premium Edition,,https://store.steampowered.com/bundle/9464/Jurassic_World_Evolution_Premium_Edition/?snr=1_7_7_topsellers_150_5
Far Cry® 5,"26 Mar, 2018",https://store.steampowered.com/app/552520/Far_Cry_5/?snr=1_7_7_topsellers_150_5
Destiny 2: Forsaken,"1 Oct, 2019",https://store.steampowered.com/app/1090150/Destiny_2_Forsaken/?snr=1_7_7_topsellers_150_5
Total War: THREE KINGDOMS,"23 May, 2019",https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_7_7_topsellers_150_5
DRAGON BALL Z: KAKAROT,"16 Jan, 2020",https://store.steampowered.com/app/851850/DRAGON_BALL_Z_KAKAROT/?snr=1_7_7_topsellers_150_5
RACCOON CITY EDITION,,https://store.steampowered.com/bundle/13994/RACCOON_CITY_EDITION/?snr=1_7_7_topsellers_150_5
